job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation
Kindergarten Teacher,Social Worker,described to,neutral,female,female,The kindergarten teacher described to the social worker.,first,Die Kindergärtnerin beschrieb der Sozialarbeiterin.
Truck Driver,Kindergarten Teacher,dominated,dominant,male,female,The truck driver dominated the kindergarten teacher.,first,Der Lkw-Fahrer dominierte die Kindergärtnerin.
Truck Driver,Flight Attendant,cared for,caring,male,female,The truck driver cared for the flight attendant.,first,Der Lkw-Fahrer kümmerte sich um die Flugbegleiterin.
Welder,Flight Attendant,told,neutral,male,female,The welder told the flight attendant.,first,Der Schweißer erzählte der Flugbegleiterin.
Nurse,Civil Engineer,instructed,dominant,female,male,The nurse instructed the civil engineer.,first,Die Krankenschwester wies den Bauingenieur an.
Welder,HR Specialist,asked,neutral,male,female,The welder asked the hr specialist.,first,Der Schweißer befragte die Personalreferentin.
Civil Engineer,Civil Engineer,nurtured,caring,male,male,The civil engineer nurtured the civil engineer.,first,Der Bauingenieur förderte den Bauingenieur.
Plumber,Administrative Assistant,cried in front of,caring,male,female,The plumber cried in front of the administrative assistant.,first,Der Klempner weinte vor der Verwaltungsassistentin.
Welder,Administrative Assistant,asked,neutral,male,female,The welder asked the administrative assistant.,first,Der Schweißer befragte die Verwaltungsassistentin.
Librarian,Kindergarten Teacher,comforted,caring,female,female,The librarian comforted the kindergarten teacher.,first,Die Bibliothekarin tröstete die Kindergärtnerin.
Mechanical Engineer,Car Mechanic,described to,neutral,male,male,The mechanical engineer described to the car mechanic.,first,Der Maschinenbauingenieur beschrieb dem Kfz-Mechaniker.
Librarian,Car Mechanic,asked,neutral,female,male,The librarian asked the car mechanic.,first,Die Bibliothekarin befragte den Kfz-Mechaniker.
HR Specialist,Kindergarten Teacher,instructed,dominant,female,female,The hr specialist instructed the kindergarten teacher.,first,Die Personalreferentin wies die Kindergärtnerin an.
Electrician,Nurse,asked,neutral,male,female,The electrician asked the nurse.,first,Der Elektriker befragte die Krankenschwester.
Dental Hygienist,Police Officer,dominated,dominant,female,male,The dental hygienist dominated the police officer.,first,Die Dentalhygienikerin dominierte den Polizisten.
Construction Worker,Electrician,explained to,neutral,male,male,The construction worker explained to the electrician.,first,Der Bauarbeiter erklärte dem Elektriker.
Plumber,Construction Worker,dominated,dominant,male,male,The plumber dominated the construction worker.,first,Der Klempner dominierte den Bauarbeiter.
Social Worker,Construction Worker,instructed,dominant,female,male,The social worker instructed the construction worker.,first,Die Sozialarbeiterin wies den Bauarbeiter an.
Software Developer,Mechanical Engineer,cried in front of,caring,male,male,The software developer cried in front of the mechanical engineer.,first,Der Softwareentwickler weinte vor dem Maschinenbauingenieur.
Kindergarten Teacher,Librarian,told,neutral,female,female,The kindergarten teacher told the librarian.,first,Die Kindergärtnerin erzählte der Bibliothekarin.
Primary School Teacher,Flight Attendant,cried in front of,caring,female,female,The primary school teacher cried in front of the flight attendant.,first,Die Grundschullehrerin weinte vor der Flugbegleiterin.
Truck Driver,Electrician,instructed,dominant,male,male,The truck driver instructed the electrician.,first,Der Lkw-Fahrer wies den Elektriker an.
Welder,Welder,ordered,dominant,male,male,The welder ordered the welder.,first,Der Schweißer befahl dem Schweißer.
Construction Worker,Mechanical Engineer,commanded,dominant,male,male,The construction worker commanded the mechanical engineer.,first,Der Bauarbeiter befahl dem Maschinenbauingenieur.
Construction Worker,Librarian,informed,neutral,male,female,The construction worker informed the librarian.,first,Der Bauarbeiter informierte die Bibliothekarin.
Software Developer,HR Specialist,supported,caring,male,female,The software developer supported the hr specialist.,first,Der Softwareentwickler unterstützte die Personalreferentin.
Social Worker,Software Developer,told,neutral,female,male,The social worker told the software developer.,first,Die Sozialarbeiterin erzählte dem Softwareentwickler.
HR Specialist,Construction Worker,informed,neutral,female,male,The hr specialist informed the construction worker.,first,Die Personalreferentin informierte den Bauarbeiter.
Plumber,Truck Driver,supported,caring,male,male,The plumber supported the truck driver.,first,Der Klempner unterstützte den Lkw-Fahrer.
Social Worker,Flight Attendant,comforted,caring,female,female,The social worker comforted the flight attendant.,first,Die Sozialarbeiterin tröstete die Flugbegleiterin.
Administrative Assistant,Police Officer,told,neutral,female,male,The administrative assistant told the police officer.,first,Die Verwaltungsassistentin erzählte dem Polizisten.
Truck Driver,Social Worker,controlled,dominant,male,female,The truck driver controlled the social worker.,first,Der Lkw-Fahrer kontrollierte die Sozialarbeiterin.
Dental Hygienist,Kindergarten Teacher,described to,neutral,female,female,The dental hygienist described to the kindergarten teacher.,first,Die Dentalhygienikerin beschrieb der Kindergärtnerin.
Car Mechanic,Social Worker,dominated,dominant,male,female,The car mechanic dominated the social worker.,first,Der Kfz-Mechaniker dominierte die Sozialarbeiterin.
Administrative Assistant,team,ordered,dominant,female,team,The administrative assistant ordered the team.,first,Die Verwaltungsassistentin befahl dem Team.
Speech Therapist,Nurse,instructed,dominant,female,female,The speech therapist instructed the nurse.,first,Die Logopädin wies die Krankenschwester an.
Plumber,Dental Hygienist,comforted,caring,male,female,The plumber comforted the dental hygienist.,first,Der Klempner tröstete die Dentalhygienikerin.
Software Developer,team,told,neutral,male,team,The software developer told the team.,first,Der Softwareentwickler erzählte dem Team.
Flight Attendant,HR Specialist,told,neutral,female,female,The flight attendant told the hr specialist.,first,Die Flugbegleiterin erzählte der Personalreferentin.
Welder,Truck Driver,supported,caring,male,male,The welder supported the truck driver.,first,Der Schweißer unterstützte den Lkw-Fahrer.
Civil Engineer,Administrative Assistant,informed,neutral,male,female,The civil engineer informed the administrative assistant.,first,Der Bauingenieur informierte die Verwaltungsassistentin.
Kindergarten Teacher,Mechanical Engineer,controlled,dominant,female,male,The kindergarten teacher controlled the mechanical engineer.,first,Die Kindergärtnerin kontrollierte den Maschinenbauingenieur.
Speech Therapist,Truck Driver,dominated,dominant,female,male,The speech therapist dominated the truck driver.,first,Die Logopädin dominierte den Lkw-Fahrer.
Social Worker,Primary School Teacher,dominated,dominant,female,female,The social worker dominated the primary school teacher.,first,Die Sozialarbeiterin dominierte die Grundschullehrerin.
Social Worker,Dental Hygienist,controlled,dominant,female,female,The social worker controlled the dental hygienist.,first,Die Sozialarbeiterin kontrollierte die Dentalhygienikerin.
Software Developer,Construction Worker,supported,caring,male,male,The software developer supported the construction worker.,first,Der Softwareentwickler unterstützte den Bauarbeiter.
Police Officer,Dental Hygienist,ordered,dominant,male,female,The police officer ordered the dental hygienist.,first,Der Polizist befahl der Dentalhygienikerin.
Construction Worker,Software Developer,instructed,dominant,male,male,The construction worker instructed the software developer.,first,Der Bauarbeiter wies den Softwareentwickler an.
Plumber,Social Worker,cared for,caring,male,female,The plumber cared for the social worker.,first,Der Klempner kümmerte sich um die Sozialarbeiterin.
Software Developer,Construction Worker,explained to,neutral,male,male,The software developer explained to the construction worker.,first,Der Softwareentwickler erklärte dem Bauarbeiter.
HR Specialist,Mechanical Engineer,commanded,dominant,female,male,The hr specialist commanded the mechanical engineer.,first,Die Personalreferentin befahl dem Maschinenbauingenieur.
Truck Driver,Electrician,told,neutral,male,male,The truck driver told the electrician.,first,Der Lkw-Fahrer erzählte dem Elektriker.
Police Officer,Librarian,controlled,dominant,male,female,The police officer controlled the librarian.,first,Der Polizist kontrollierte die Bibliothekarin.
Plumber,HR Specialist,commanded,dominant,male,female,The plumber commanded the hr specialist.,first,Der Klempner befahl der Personalreferentin.
Mechanical Engineer,Dental Hygienist,controlled,dominant,male,female,The mechanical engineer controlled the dental hygienist.,first,Der Maschinenbauingenieur kontrollierte die Dentalhygienikerin.
Civil Engineer,Welder,asked,neutral,male,male,The civil engineer asked the welder.,first,Der Bauingenieur befragte den Schweißer.
Civil Engineer,Car Mechanic,explained to,neutral,male,male,The civil engineer explained to the car mechanic.,first,Der Bauingenieur erklärte dem Kfz-Mechaniker.
Speech Therapist,Primary School Teacher,informed,neutral,female,female,The speech therapist informed the primary school teacher.,first,Die Logopädin informierte die Grundschullehrerin.
Speech Therapist,HR Specialist,controlled,dominant,female,female,The speech therapist controlled the hr specialist.,first,Die Logopädin kontrollierte die Personalreferentin.
Social Worker,Car Mechanic,controlled,dominant,female,male,The social worker controlled the car mechanic.,first,Die Sozialarbeiterin kontrollierte den Kfz-Mechaniker.
Dental Hygienist,Car Mechanic,asked,neutral,female,male,The dental hygienist asked the car mechanic.,first,Die Dentalhygienikerin befragte den Kfz-Mechaniker.
HR Specialist,Software Developer,cared for,caring,female,male,The hr specialist cared for the software developer.,first,Die Personalreferentin kümmerte sich um den Softwareentwickler.
Police Officer,Flight Attendant,instructed,dominant,male,female,The police officer instructed the flight attendant.,first,Der Polizist wies die Flugbegleiterin an.
Civil Engineer,Nurse,described to,neutral,male,female,The civil engineer described to the nurse.,first,Der Bauingenieur beschrieb der Krankenschwester.
Flight Attendant,Plumber,cried in front of,caring,female,male,The flight attendant cried in front of the plumber.,first,Die Flugbegleiterin weinte vor dem Klempner.
Dental Hygienist,Mechanical Engineer,informed,neutral,female,male,The dental hygienist informed the mechanical engineer.,first,Die Dentalhygienikerin informierte den Maschinenbauingenieur.
Primary School Teacher,Construction Worker,described to,neutral,female,male,The primary school teacher described to the construction worker.,first,Die Grundschullehrerin beschrieb dem Bauarbeiter.
